Date;Volume
17.05.2018;118172250
16.05.2018;208226250
15.05.2018;182409500
14.05.2018;250340625
13.05.2018;NA
11.05.2018;220800750
10.05.2018;140339250
09.05.2018;139410750
08.05.2018;206959500
07.05.2018;224196000
06.05.2018;NA
04.05.2018;182172000
03.05.2018;197714000
02.05.2018;95199500
01.05.2018;143419500
30.04.2018;140550000
29.04.2018;NA
27.04.2018;41771502.5
26.04.2018;221830500
25.04.2018;477393750
24.04.2018;215514000
23.04.2018;130943125
20.04.2018;97672000
19.04.2018;111860000
18.04.2018;113164625
17.04.2018;106530000
16.04.2018;154255250
15.04.2018;NA
13.04.2018;121199375
12.04.2018;176295000
11.04.2018;60287500
10.04.2018;63661500
09.04.2018;114737500
08.04.2018;NA
06.04.2018;81009500
05.04.2018;154808750
04.04.2018;105388750
03.04.2018;81918625
02.04.2018;122970750
01.04.2018;NA
29.03.2018;42005975
28.03.2018;129065625
27.03.2018;147496250
26.03.2018;100602000
23.03.2018;125171250
22.03.2018;92935500
21.03.2018;81801000
20.03.2018;88995625
19.03.2018;114640625
18.03.2018;NA
16.03.2018;129669125
15.03.2018;125454000
14.03.2018;113388000
13.03.2018;154085750
12.03.2018;125580000
11.03.2018;NA
09.03.2018;125800250
08.03.2018;122031000
07.03.2018;96980625
06.03.2018;87867750
05.03.2018;56838375
04.03.2018;NA
02.03.2018;41428125
01.03.2018;72613125
28.02.2018;60200750
27.02.2018;39795500
